stim_on_time_ms,stim_off_time_ms,stim_on_delay_ms,stimulus_size_degrees,fixation_window_size_degrees,fixation_point_size_degrees,stim_id,stim_current,stimulus_presented,fixation_correct,stimulus_order_in_trial,samp_on_us,photodiode_on_us
100.0,100.0,300.0,8,2,0.2,a-000,40,102,1,5,167522100,167513350
100.0,100.0,300.0,8,2,0.2,d-005,8,103,1,6,167855400,167841350
100.0,100.0,300.0,8,2,0.2,b-000,4,104,1,7,168189450,168184950
100.0,100.0,300.0,8,2,0.2,a-016,16,105,1,8,168522750,168511150
100.0,100.0,300.0,8,2,0.2,d-016,32,1,1,1,178072150,178066400
100.0,100.0,300.0,8,2,0.2,d-018,24,2,1,2,178405150,178391450
100.0,100.0,300.0,8,2,0.2,d-000,48,3,1,3,178739250,178738400
100.0,100.0,300.0,8,2,0.2,a-031,24,4,1,4,179073750,179063050
100.0,100.0,300.0,8,2,0.2,d-008,8,5,1,5,179405600,179409600
100.0,100.0,300.0,8,2,0.2,d-010,4,6,1,6,179738950,179730300
100.0,100.0,300.0,8,2,0.2,d-005,24,7,1,7,180072200,180062000
100.0,100.0,300.0,8,2,0.2,a-000,24,8,1,8,180407750,180403300
100.0,100.0,300.0,8,2,0.2,a-016,32,9,1,1,188155550,188168000
100.0,100.0,300.0,8,2,0.2,a-028,16,10,1,2,188488350,188487850
100.0,100.0,300.0,8,2,0.2,a-022,40,11,1,3,188821550,188808250
100.0,100.0,300.0,8,2,0.2,d-025,32,12,1,4,189154850,189161100
100.0,100.0,300.0,8,2,0.2,b-000,16,13,1,5,189488400,189493850
100.0,100.0,300.0,8,2,0.2,b-031,32,14,1,6,189822000,189831150
100.0,100.0,300.0,8,2,0.2,a-024,24,15,1,7,190156000,190152950
100.0,100.0,300.0,8,2,0.2,d-010,8,16,1,8,190488550,190474550
100.0,100.0,300.0,8,2,0.2,a-000,48,17,1,1,198288200,198277050
100.0,100.0,300.0,8,2,0.2,a-016,8,18,1,2,198622100,198621800
100.0,100.0,300.0,8,2,0.2,d-016,40,19,1,3,198954950,198942250
